aX,aY,aZ,gX,gY,gZ
-0.115,-0.054,1.002,1.099,1.099,-3.601
-0.351,-0.026,0.998,1.343,1.038,-6.287
0.008,0.005,1.004,2.441,0.854,-11.841
-0.046,-0.010,1.001,1.648,1.221,-13.123
-0.213,-0.057,0.998,-0.549,0.977,-13.062
-0.037,-0.015,1.004,0.366,1.038,-11.963
-0.088,-0.032,1.002,0.793,1.038,-7.874
-0.110,-0.026,1.002,-0.061,0.977,-5.005
-0.090,-0.017,1.008,-0.854,0.977,-3.357
-0.105,-0.030,1.004,-1.343,0.977,-1.770
-0.100,-0.048,1.003,-2.014,0.916,-0.488
-0.103,-0.027,1.011,-1.892,0.610,0.488
-0.094,0.009,1.034,-1.953,0.183,2.014
-0.102,0.041,1.059,-3.235,-0.977,3.723
-0.117,0.048,1.045,-6.531,-2.380,5.310
-0.127,0.045,1.046,-10.925,-3.418,6.287
-0.140,0.029,1.033,-13.855,-4.822,6.287
-0.149,0.000,1.015,-13.306,-5.981,5.371
-0.134,0.014,1.020,-11.230,-6.897,3.784
